ind	dent	sample	ERJ	Sr	O	C	sampling	ERJ original		
CAHI3	m2	GR9_6	26.6	0.708597	-2.10	-13.00	banda	10.7		
CAHI3	m2	GR9_5	25.1	0.7086	-2.61	-12.82	banda	9.2		
CAHI3	m2	GR9_4	23.4	0.708642	-2.95	-13.28	banda	7.5		
CAHI3	m2	GR9_3	21.8	0.708713	-2.91	-13.51	banda	5.9		
CAHI3	m2	GR9_2	20.3	0.708633	-3.21	 -13.38	banda	4.4		
CAHI3	m2	GR9_1	18.1	0.708536	 -3.33	 -13.27	banda	2.2	mediana C	
CAHI3	m3	GR10_9	15.9	0.708343	-5.33	-13.27	banda	15.9		
CAHI3	m3	GR10_8	14.1	0.708279	-5.98	-13.25	banda	14.1		
CAHI3	m3	GR10_7	12.7	0.708278	-4.81	-13.10	banda	12.7		
CAHI3	m3	GR10_6	11	0.708302	-4.91	-13.33	banda	11		
CAHI3	m3	GR10_5	9.6	0.708450	-5.22	-13.55	banda	9.6		
CAHI3	m3	GR10_4	7.8	0.708631	 -4.65	 -13.56	banda	7.8	corregit O (valor aberrant) mediana 	corregit C (valor aberrant) mediana
CAHI3	m3	GR10_3	6	0.708506	-4.09	-13.57	banda	6		
CAHI3	m3	GR10_2	4.2	0.708568	-4.21	-13.63	banda	4.2		
CAHI3	m3	GR10_1	2.5	0.708508	-4.49	-13.95	banda	2.5		
CAHI1	m2	AR1_7t	41.9	0.708529	 -0.05	 -13.76	slice	18.8	mediana C	
CAHI1	m2	AR1_6t	38.9	0.708539	-0.05	-13.57	slice	15.8		
CAHI1	m2	AR1_5t	36.6	0.708626	2.31	-13.81	slice	13.5		
CAHI1	m2	AR1_4t	33.7	0.708656	3.53	-13.46	slice	10.6		
CAHI1	m2	AR1_3t	31	0.708681	3.83	-13.32	slice	7.9		
CAHI1	m2	AR1_2t	28.6	0.708696	3.47	-13.17	slice	5.5		
CAHI1	m2	AR1_1t	26	0.708609	2.23	-13.11	slice	2.9		
CAHI1	m3	AR2_9t	23.1	0.708512	-0.28	-13.28	slice	23.1		
CAHI1	m3	AR2_8t	20.3	0.70851	 -0.35	 -13.37	slice	20.3	mediana C	
CAHI1	m3	AR2_7t	16.9	0.708507	-0.38	-13.47	slice	16.9		
CAHI1	m3	AR2_6t	14.6	0.708523	-0.09	-13.44	slice	14.6		
CAHI1	m3	AR2_5t	11.8	0.708545	0.85	-13.57	slice	11.8		
CAHI1	m3	AR2_4t	8.7	0.708584	1.82	-13.89	slice	8.7		
CAHI1	m3	AR2_3t	6.7	0.708603	3.04	-13.94	slice	6.7		
CAHI1	m3	AR2_2t	4	0.708647	3.08	-13.88	slice	4		
CAHI1	m3	AR2_1t	0.5	0.7086	1.61	-13.90	slice	0.5		
CAHI2	m2	AR3-7t	44.4	0.708664	-2.22	-14.55	slice	18.8		
CAHI2	m2	AR3-6t	40.9	0.708653	-2.30	-14.67	slice	15.3		
CAHI2	m2	AR3-5t	37.6	0.708638	-1.17	-14.46	slice	12		
CAHI2	m2	AR3-4t	34.9	0.708664	0.84	-14.08	slice	9.3		
CAHI2	m2	AR3-3t	32.4	0.708703	2.34	-13.65	slice	6.8		
CAHI2	m2	AR3-2t	30	0.708695	3.28	-13.28	slice	4.4		
CAHI2	m2	AR3-1t	27	0.708703	2.95	-12.88	slice	1.4		
CAHI2	m3	AR4_9t	25.6	0.708569	0.96	-13.12	slice	25.6		
CAHI2	m3	AR4_8t	22.2	0.708568	0.43	-13.14	slice	22.2		
CAHI2	m3	AR4_7t	19.7	0.708533	-0.25	-13.32	slice	19.7		
CAHI2	m3	AR4_6t	16.3	0.708532	-0.51	-13.44	slice	16.3		
CAHI2	m3	AR4_5t	13.5	0.708576	-0.37	-13.62	slice	13.5		
CAHI2	m3	AR4_4t	10.6	0.708651	0.31	-13.71	slice	10.6		
CAHI2	m3	AR4_3t	7.9	0.708591	1.55	-13.85	slice	7.9		
CAHI2	m3	AR4_2t	5.5	0.708622	2.74	-13.95	slice	5.5		
CAHI2	m3	AR4_1t	1.6	0.708682	2.31	-13.73	slice	1.6		
OVAR4	m2	GR_8.10	42.3	0.708001	-4.36	-14.23	band	18		
OVAR4	m2	GR_8.9	40.6	0.707996	-3.82	-14.03	band	16.3		
OVAR4	m2	GR_8.8	38.9	0.707987	-3.22	-13.40	band	14.6		
OVAR4	m2	GR_8.7	36.9	0.707976	-3.43	-13.42	band	12.6		
OVAR4	m2	GR_8.6	35.3	0.70798	-2.86	-13.10	band	11		
OVAR4	m2	GR_8.5	33.3	0.707995	-2.83	-12.53	band	9		
OVAR4	m2	GR_8.4	31	0.708012	-3.99	-12.34	band	6.7		
OVAR4	m2	GR_8.3	29.5	0.708014	-4.31	-11.68	band	5.2		
OVAR4	m2	GR_8.2	27.5	0.708031	-5.03	-11.57	band	3.2		
OVAR4	m2	GR_8.1	25.7	0.708038	 -6.46	 -11.97	band	1.4	mediana C	
OVAR4	m3	GR_7.11	24.3	0.708015	-7.36	-12.38	band	24.3		
OVAR4	m3	GR_7.10	22.5	0.70802	-8.24	-12.85	band	22.5		
OVAR4	m3	GR_7.9	20.4	0.708053	-7.83	-13.11	band	20.4		
OVAR4	m3	GR_7.8	18.7	0.708054	-6.46	-12.87	band	18.7		
OVAR4	m3	GR_7.7	16.4	0.708054	-5.62	-12.90	band	16.4		
OVAR4	m3	GR_7.6	14.4	0.708044	-5.91	-13.28	band	14.4		
OVAR4	m3	GR_7.5	12.1	0.708042	-4.16	-13.57	band	12.1		
OVAR4	m3	GR_7.4	9.8	0.708031	-2.92	-13.04	band	9.8		
OVAR4	m3	GR_7.3	8.2	0.707991	-3.14	-13.04	band	8.2		
OVAR4	m3	GR_7.2	6.3	0.708003	-5.14	-12.93	band	6.3		
OVAR4	m3	GR_7.1	4.4	0.70802	-5.99	-13.04	band	4.4		
